symbol,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,initial_capital,final_equity,net_pnl,total_return_pct,total_trades,win_rate_pct,max_drawdown_pct,sharpe_ratio
TATAMOTORS,25,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,65,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,65,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,25,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,70,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,70,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,25,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,25,75,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.3715501179454259
TATAMOTORS,25,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,25,75,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-5.4879426902040995,-0.37349658771324723
TATAMOTORS,25,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,65,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,65,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,70,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,70,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,30,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4283212142913686
TATAMOTORS,30,75,20,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0172975203962094
TATAMOTORS,30,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4409555502083156
TATAMOTORS,30,75,25,2.0,100000.0,96848.6568,-3151.343200000003,-3.151343200000001,5,20.0,-7.378183836400008,-1.0226298725858347
TATAMOTORS,30,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,65,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,65,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,65,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,65,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,65,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,65,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,70,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,70,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,70,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,70,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,70,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,70,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
TATAMOTORS,35,75,15,2.0,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,75,15,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.246322725417561
TATAMOTORS,35,75,20,2.0,100000.0,96848.65680000001,-3151.3431999999884,-3.1513431999999897,5,20.0,-7.3781838363999945,-1.0207554183966487
TATAMOTORS,35,75,20,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.258004018417303
TATAMOTORS,35,75,25,2.0,100000.0,94911.68366400003,-5088.316335999974,-5.088316335999976,6,16.666666666666664,-7.3781838363999945,-1.5828973376926938
TATAMOTORS,35,75,25,2.5,100000.0,94119.19999999997,-5880.800000000032,-5.880800000000031,3,0.0,-7.188587737097525,-2.4537891675110814
INFY,25,65,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,65,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,65,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,65,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,65,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,65,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,25,70,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,70,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,70,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,70,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,70,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,70,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,25,75,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,75,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,75,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,75,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,75,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,75,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,30,65,15,2.0,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-5.489028537947728,0.9717955559365654
INFY,30,65,15,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.7964558998323468
INFY,30,65,20,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28651180205957444
INFY,30,65,20,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.805787337617547
INFY,30,65,25,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28801272280224766
INFY,30,65,25,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.8152657150750189
INFY,30,70,15,2.0,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-5.489028537947728,0.9717955559365654
INFY,30,70,15,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.7964558998323468
INFY,30,70,20,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28651180205957444
INFY,30,70,20,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.805787337617547
INFY,30,70,25,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28801272280224766
INFY,30,70,25,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.8152657150750189
INFY,30,75,15,2.0,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-5.489028537947728,0.9717955559365654
INFY,30,75,15,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.7964558998323468
INFY,30,75,20,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28651180205957444
INFY,30,75,20,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.805787337617547
INFY,30,75,25,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28801272280224766
INFY,30,75,25,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.8152657150750189
INFY,35,65,15,2.0,100000.0,104664.63333149526,4664.633331495264,4.6646333314952715,4,50.0,-4.919089542053777,1.2892249868189136
INFY,35,65,15,2.5,100000.0,104865.8274291498,4865.827429149795,4.865827429149805,2,50.0,-2.9786627980140343,2.037453464679744
INFY,35,65,20,2.0,100000.0,102571.34066486536,2571.3406648653618,2.5713406648653514,5,40.0,-7.0099591789630145,0.7593365855327749
INFY,35,65,20,2.5,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-4.919089542053777,1.0044598258109931
INFY,35,65,25,2.0,100000.0,102564.72401277756,2564.7240127775585,2.564724012777564,5,40.0,-7.0099591789630145,0.7615345332097897
INFY,35,65,25,2.5,100000.0,105003.33190547589,5003.33190547589,5.003331905475883,4,50.0,-4.919089542053777,1.6682881335621556
INFY,35,70,15,2.0,100000.0,105672.36274597474,5672.362745974737,5.672362745974735,4,50.0,-4.919089542053777,1.5307682909187512
INFY,35,70,15,2.5,100000.0,104865.8274291498,4865.827429149795,4.865827429149805,2,50.0,-2.9786627980140343,2.037453464679744
INFY,35,70,20,2.0,100000.0,103558.91549105523,3558.9154910552315,3.5589154910552256,5,40.0,-7.0099591789630145,1.0118048568905043
INFY,35,70,20,2.5,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-4.919089542053777,1.0044598258109931
INFY,35,70,25,2.0,100000.0,103552.23513268269,3552.23513268269,3.5522351326826795,5,40.0,-7.0099591789630145,1.0153480606627068
INFY,35,70,25,2.5,100000.0,106759.26271076161,6759.262710761614,6.7592627107616154,4,50.0,-4.919089542053777,2.1668158060585467
INFY,35,75,15,2.0,100000.0,106414.90020927537,6414.900209275365,6.414900209275376,4,50.0,-4.919089542053777,1.7091401272394358
INFY,35,75,15,2.5,100000.0,104865.8274291498,4865.827429149795,4.865827429149805,2,50.0,-2.9786627980140343,2.037453464679744
INFY,35,75,20,2.0,100000.0,104286.60220508986,4286.602205089861,4.286602205089851,5,40.0,-7.0099591789630145,1.196257707252443
INFY,35,75,20,2.5,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-4.919089542053777,1.0044598258109931
INFY,35,75,25,2.0,100000.0,104279.87490524435,4279.874905244345,4.279874905244352,5,40.0,-7.0099591789630145,1.200778060355879
INFY,35,75,25,2.5,100000.0,106759.26271076161,6759.262710761614,6.7592627107616154,4,50.0,-4.919089542053777,2.1668158060585467
